X,Y,OBJECTID,BARBERSHOP,ADDRESS,PHONE,WARD,LATITUDE,LONGITUDE,MAR_WARD,XCOORD,YCOORD,ZIPCODE,MAR_ID
-77.0246251539331,38.9394856180258,11,Diamond District Barbershop,3929 Georgia Ave NW WDC 20011,(202) 534-7559,4,38.93947816,-77.02462286,Ward 4,397865.3,141287.96,20011,252527
-77.0246251539331,38.9394856180258,12,Eddie's Barbershop,3929 Georgia Ave NW WDC 20011,(202) 534-7559,4,38.93947816,-77.02462286,Ward 4,397865.3,141287.96,20011,252527
-77.0150106505496,38.942369631494,13,Powell's Barbershop,227 Upshur St NW WDC 20011,(202) 722-9875,4,38.94236217,-77.01500836,Ward 4,398698.89,141607.93,20011,244362
-77.024886954968,38.9420316663905,14,Williams' Barbershop,851 Upshur St NW WDC 20011,(202) 534-8862,4,38.9420242,-77.02488466,Ward 4,397842.68,141570.6,20011,285448
-76.9959427333943,38.932648770167,15,Bennet Career Institute,700 Monroe St NE WDC 20017,(202) 526-1400,5,38.93264131,-76.99594045,Ward 5,400351.98,140528.73,20017,300
-77.0087610218695,38.9165782100487,16,Community Barbershop,1931 N. Capitol St NE WDC 20001,(202) 635-9869,5,38.91657075,-77.00875873,Ward 5,399240.41,138744.79,20002,53593
-76.9911560732323,38.9004011956218,17,Hillman & Son,1106 H St NE WDC 20002,(202) 396-9640,6,38.90039374,-76.99115379,Ward 6,400767.35,136949.01,20002,74323
-76.9922320042244,38.900415144973,18,Mason's Hair Gallery,1010 H St NE WDC 20002,(202) 399-6454,6,38.90040769,-76.99222972,Ward 6,400674.02,136950.55,20002,75791
-76.9890905561276,38.9003930035935,19,Powell's 2 Barbershop,1232 H St NE WDC 20002,(202) 607-5172,6,38.90038555,-76.98908828,Ward 6,400946.52,136948.12,20002,70429
-77.0224729036373,38.9083431145918,20,Shabazz Barbershop,704 O St NW WDC 20001,(202) 299-9322,6,38.90833566,-77.02247061,Ward 6,398051.04,137830.83,20001,302134
-76.9416008630842,38.8930088115667,21,Benning Barber,4228 Benning Road NE WDC 20019,(202) 396-5553,7,38.89300136,-76.9415986,Ward 7,405066.46,136129.98,20019,24953
-76.9475709839433,38.8961160181612,22,Fresh Cuts & Styles,4051 Minnesota Ave NE WDC 20019,(202) 367-2764,7,38.89610856,-76.94756872,Ward 7,404548.34,136474.59,20019,309099
-76.9351897289747,38.87335092685,23,Mr Lee's,4409 Bowen Rd SE WDC 20019,(202) 575-5110,7,38.87334348,-76.93518747,Ward 7,405624.19,133948.18,20019,22119
-76.9366354104579,38.889044880063,24,Unique Cuts,4526 Benning Road SE WDC 20019,(202) 450-4543,7,38.88903743,-76.93663315,Ward 7,405497.53,135690.24,20019,278513
-76.9739720564421,38.8504548049334,25,Classic Kuts,3222 22nd St SE WDC 20020,(202) 610-1345,8,38.85044736,-76.97396978,Ward 8,402259.53,131404.87,20020,278353
-76.984159504857,38.8664358660525,26,Kutt-N-Up,1433 Good Hope Rd SE WDC 20020,(202) 678-0414,8,38.86642842,-76.98415723,Ward 8,401374.91,133178.68,20020,286193
-76.9697248367422,38.861213268674,27,Like That,2449 Good Hope Rd SE WDC 20020,(202) 610-3700,8,38.86120582,-76.96972256,Ward 8,402627.81,132599.25,20020,287064
-76.9963710543137,38.8471222749793,28,MLK Community Barbershop,2739 MLK Jr Ave SE WDC 20032,(202) 563-0151,8,38.84711483,-76.99636878,Ward 8,400315.22,131034.62,20032,44976
-77.0001914228588,38.8433550897433,29,My Three Sons,3125 MLK Ave SE WDC 20032,(202) 561-0396,8,38.84334765,-77.00018914,Ward 8,399983.58,130616.43,20032,39883
-76.9924860572463,38.8623826411335,30,Next Level,2408 Martin Luther King Jr Ave SE 200020,(202) 678-1180,8,38.86237519,-76.99248378,Ward 8,400652.33,132728.65,20020,47555
